,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
49,Broccoli (feat. Lil Yachty),69,0.886,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99,7yyRTcZmCiyzzJlNzGC9Ol,225205,4,DRAM
50,Thunder,5,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,0tKcYR2II1VCQWT79i5NrW,187147,4,Imagine Dragons
51,Strip That Down,5,0.869,0.485,6,-5.595,1,0.0545,0.246,0.0,0.0765,0.527,106.028,6EpRaXYhGOB3fj4V2uDkMJ,204502,4,Liam Payne
52,Despacito (Featuring Daddy Yankee),6,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,4aWmUDTfIPGksMNLV2rQP2,228200,4,Luis Fonsi
53,Sorry Not Sorry,2,0.704,0.633,11,-6.923,0,0.241,0.0214,0.0,0.29,0.863,144.021,3m660poUr1chesgkkjQM7P,203760,4,Demi Lovato
54,Castle on the Hill,77,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,6PCUP3dWmTjcTtXY02oFdT,261154,4,Ed Sheeran
55,X (feat. Future),72,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,6fwdbPMwP1zVStm8FybmkO,258880,4,21 Savage
56,Now Or Never,69,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,7i2DJ88J7jQ8K7zqFX2fW8,214802,4,Halsey
57,Black Beatles,75,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,6fujklziTHa8uoM5OQSfIo,291893,4,Rae Sremmurd
58,There's Nothing Holdin' Me Back,6,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,79cuOz3SPQTuFrp8WgftAu,199440,4,Shawn Mendes
59,I Fall Apart,83,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,75ZvA4QfFiZvzhj2xkaWAh,223347,4,Post Malone
60,No Problem (feat. Lil Wayne & 2 Chainz),72,0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.788,135.018,0v9Wz8o0BT8DU38R4ddjeH,304607,4,Chance the Rapper
61,One Dance,6,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,1xznGGDReH1oQq0xzbwXa3,173987,4,Drake
62,Gyalchester,69,0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,6UjfByV1lDLW0SOVQA4NAi,189230,4,Drake
63,Slow Hands,2,0.734,0.418,0,-6.678,1,0.0425,0.0129,0.0,0.0579,0.868,85.909,38yBBH2jacvDxrznF7h08J,188174,4,Niall Horan
64,Feel It Still,79,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253,4,Portugal. The Man
65,Moves,64,0.812,0.522,2,-5.287,1,0.257,0.0433,0.0,0.154,0.38,75.524,0Fv5N0cHBsl4bzCbollCAS,142907,4,Big Sean
66,ELEMENT.,71,0.748,0.705,4,-4.547,0,0.485,0.204,0.0,0.246,0.483,189.891,1EaKU4dMbesXXd3BrLCtYG,208733,4,Kendrick Lamar
67,Go Flex,79,0.665,0.498,5,-8.185,1,0.0832,0.228,0.0,0.0757,0.127,81.967,5yuShbu70mtHXY0yLzCQLQ,179613,4,Post Malone
68,White Iverson,78,0.675,0.562,7,-7.678,1,0.0352,0.233,0.0,0.0816,0.309,130.098,6eT7xZZlB2mwyzJ2sUKG6w,256533,4,Post Malone
69,Bad Things (with Camila Cabello),73,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,1PSBzsahR2AKwLJgx8ehBj,239293,4,Machine Gun Kelly
70,24K Magic,77,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,6b8Be6ljOzmkOmFslEb23P,225983,4,Bruno Mars
71,Havana,7,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,0ofbQMrRDsUaVKq2mGLEAb,216897,4,Camila Cabello
72,Mi Gente,4,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,2rb5MvYT7ZIxbKW5hfcHx8,189440,4,J Balvin
73,Rolex,73,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,0pSBuHjILhNEo55xK1zrRt,238587,4,Ayo & Teo
74,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",76,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,5bcTCxgc7xVfSaMV3RuVke,223413,4,Calvin Harris
75,Love Galore (feat. Travis Scott),76,0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002,0q75NwOoFiARAVp4EXU4Bs,275080,4,SZA
76,Swalla (feat. Nicki Minaj & Ty Dolla $ign),77,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,6kex4EBAj0WHXDKZMEJaaF,216409,4,Jason Derulo
77,It's A Vibe,73,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,6H0AwSQ20mo62jGlPGB8S6,210200,4,2 Chainz
78,Perfect,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,Ed Sheeran
79,No Heart,71,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,4gmmRb6bZJffOOiww1JGTO,235040,4,21 Savage
80,"How Far I'll Go - From ""Moana""",2,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,5hYTyyh2odQKphUbMqc5gN,175517,4,Alessia Cara
81,Losin Control,77,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,4cxMGhkinTocPSVVKWIw0d,237507,4,Russ
82,pick up the phone,74,0.711,0.739,7,-3.804,0,0.129,0.114,0.0,0.226,0.43,136.919,20dP2DaMHIAmwWAbp7peSr,252256,4,Travis Scott
83,You Was Right,72,0.843,0.359,0,-7.417,1,0.461,0.069,0.0,0.12,0.156,81.987,2ANLarE8yHVsLWW21nj79M,163944,4,Lil Uzi Vert
84,Call On Me - Ryan Riback Extended Remix,56,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,78rIJddV4X0HkNAInEcYde,222041,4,Starley
85,do re mi,78,0.745,0.593,8,-6.35,1,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,3Q3myFA7q4Op95DOpHplaY,212027,3,blackbear
86,Both (feat. Drake),69,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976,5tFep7dXGd7vEJ668wTPux,190312,4,Gucci Mane
87,Selfish (feat. Rihanna),63,0.415,0.369,8,-10.044,1,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,6yHkPtl6UQ7RjtJLBPzbJw,251423,4,Future
88,Weak,2,0.673,0.637,5,-4.518,1,0.0429,0.137,0.0,0.184,0.678,123.98,3E2Zh20GDCR9B1EYjfXWyv,201160,4,AJR
89,Silence,79,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,7vGuf3Y35N4wmASOKLUVVU,180823,4,Marshmello
90,Chill Bill (feat. J. Davi$ & Spooks),77,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,5uDASfU19gDxSjW8cnCaBp,177184,4,Rob $tone
91,Scared to Be Lonely,79,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,3ebXMykcMXOcLeJ9xZ17XH,220883,4,Martin Garrix
92,Love On The Brain,5,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,2aksifNn5ph8igDOkPBA02,224000,3,Rihanna
93,Money Longer,75,0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,0B8QzDH7YWih85V5SEMnyJ,198944,4,Lil Uzi Vert
94,New Rules,81,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,2ekn2ttSfGqwhhate0LSR0,209320,4,Dua Lipa
95,Starving,42,0.668,0.613,4,-4.225,1,0.102,0.414,0.0,0.102,0.498,99.852,6875MeXyCW0wLyT72Eetmo,181933,4,Hailee Steinfeld
96,No Role Modelz,81,0.696,0.521,10,-8.465,0,0.332,0.302,0.0,0.0565,0.458,100.0,62vpWI1CHwFy7tMIcSStl8,292987,4,J. Cole
97,Party Monster,72,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,4F7A0DXBrmUAkp32uenhZt,249213,4,The Weeknd
